LOAD_ZONE	TIMEPOINT	lz_demand_mw
Oahu	2102008061	503.082826534
Oahu	2102007170	538.267750353
Oahu	2102028061	449.568789535
Oahu	2102027170	462.518831863
Oahu	2102047170	477.161274863
Oahu	2102048061	554.124961108
Oahu	2102068061	886.379719133
Oahu	2102067170	648.361965431
Oahu	2102087170	884.572863047
Oahu	2102088061	963.423885842
Oahu	2102108061	1040.05383967
Oahu	2102107170	963.896912921
Oahu	2102127170	928.329313539
Oahu	2102128061	1047.37624914
Oahu	2102148061	1059.37512938
Oahu	2102147170	893.642259935
Oahu	2102167170	905.642744701
Oahu	2102168061	1052.66747413
Oahu	2102187170	971.63875227
Oahu	2102188061	1148.81901435
Oahu	2102207170	869.917343429
Oahu	2102208061	1024.58092118
Oahu	2102228061	752.040100059
Oahu	2102227170	687.964784575
Oahu	2104007091	477.253212314
Oahu	2104007100	512.597466265
Oahu	2104027100	450.452643106
Oahu	2104027091	423.45480148
Oahu	2104047091	514.293094506
Oahu	2104047100	536.71676716
Oahu	2104067091	831.733939049
Oahu	2104067100	855.064551392
Oahu	2104087091	980.668678629
Oahu	2104087100	987.819101846
Oahu	2104107100	1066.01278638
Oahu	2104107091	1060.91290526
Oahu	2104127100	1089.76393634
Oahu	2104127091	1088.88339056
Oahu	2104147100	1077.77660842
Oahu	2104147091	1085.29494189
Oahu	2104167100	1041.24936175
Oahu	2104167091	1056.03636957
Oahu	2104187091	1099.28018454
Oahu	2104187100	1096.03365333
Oahu	2104207091	1013.68641768
Oahu	2104207100	985.085045712
Oahu	2104227100	705.117777829
Oahu	2104227091	709.744413724
Oahu	2106008150	560.124401227
Oahu	2106007051	554.789776721
Oahu	2106028150	477.361340237
Oahu	2106027051	515.002842001
Oahu	2106048150	486.995153819
Oahu	2106047051	603.277957401
Oahu	2106068150	595.573243571
Oahu	2106067051	913.634243167
Oahu	2106087051	1101.77757795
Oahu	2106088150	819.423703466
Oahu	2106107051	1176.89560978
Oahu	2106108150	922.737236397
Oahu	2106127051	1205.40488385
Oahu	2106128150	931.756458865
Oahu	2106148150	948.258262907
Oahu	2106147051	1215.31551643
Oahu	2106167051	1183.54639387
Oahu	2106168150	962.020911991
Oahu	2106187051	1123.26799723
Oahu	2106188150	956.355517149
Oahu	2106208150	943.327751362
Oahu	2106207051	1081.93015954
Oahu	2106228150	739.132544901
Oahu	2106227051	805.853386149
Oahu	2108007060	569.681878837
Oahu	2108007301	617.723208207
Oahu	2108027060	508.128552036
Oahu	2108027301	546.50898816
Oahu	2108047301	622.731151872
Oahu	2108047060	597.402624801
Oahu	2108067060	905.708448691
Oahu	2108067301	926.738859816
Oahu	2108087060	1081.22033182
Oahu	2108087301	1107.45587881
Oahu	2108107301	1201.25149317
Oahu	2108107060	1172.34783472
Oahu	2108127301	1230.22077539
Oahu	2108127060	1199.79252766
Oahu	2108147060	1198.07058573
Oahu	2108147301	1240.0
Oahu	2108167301	1195.06055679
Oahu	2108167060	1169.87675499
Oahu	2108187301	1187.09537201
Oahu	2108187060	1128.68332168
Oahu	2108207060	1091.35447029
Oahu	2108207301	1108.34958143
Oahu	2108227060	798.098470181
Oahu	2108227301	817.091576274
Oahu	2110007221	544.800283301
Oahu	2110007130	588.964194799
Oahu	2110027130	517.565939402
Oahu	2110027221	483.260033118
Oahu	2110047221	570.812324406
Oahu	2110047130	539.884437537
Oahu	2110067130	702.804419769
Oahu	2110067221	859.388981023
Oahu	2110087221	1056.43075396
Oahu	2110087130	938.003283402
Oahu	2110107130	1040.44759658
Oahu	2110107221	1150.05548982
Oahu	2110127221	1189.90820875
Oahu	2110127130	1031.29941909
Oahu	2110147130	1004.30157746
Oahu	2110147221	1192.5238533
Oahu	2110167221	1156.40414787
Oahu	2110167130	1002.04084677
Oahu	2110187130	1081.00998279
Oahu	2110187221	1220.70452719
Oahu	2110207221	1047.20363541
Oahu	2110207130	964.041477743
Oahu	2110227221	764.094930611
Oahu	2110227130	779.328789744
Oahu	2112007140	1038.56809344
Oahu	2112007041	548.651467712
Oahu	2112027140	473.520359265
Oahu	2112027041	487.65016674
Oahu	2112047140	473.520359265
Oahu	2112047041	598.572460673
Oahu	2112067041	941.788763823
Oahu	2112067140	473.520359265
Oahu	2112087140	974.88528348
Oahu	2112087041	1052.71105776
Oahu	2112107140	1022.69003035
Oahu	2112107041	1122.99202443
Oahu	2112127140	1029.81413988
Oahu	2112127041	1131.86422912
Oahu	2112147041	1115.64456947
Oahu	2112147140	1015.64486188
Oahu	2112167140	994.588137067
Oahu	2112167041	1123.22868715
Oahu	2112187041	1229.99742996
Oahu	2112187140	1061.33344288
Oahu	2112207140	948.13726142
Oahu	2112207041	1068.72036837
Oahu	2112227041	797.888121144
Oahu	2112227140	752.160149834
Oahu	2902008061	488.094351128
Oahu	2902007200	450.574753172
Oahu	2902028061	433.128775135
Oahu	2902027200	395.938061547
Oahu	2902047200	492.858426012
Oahu	2902048061	540.520975694
Oahu	2902067200	832.140266153
Oahu	2902068061	881.787962364
Oahu	2902087200	921.85122843
Oahu	2902088061	960.921909969
Oahu	2902107200	981.442674243
Oahu	2902108061	1039.6304094
Oahu	2902128061	1047.15143522
Oahu	2902127200	982.698131333
Oahu	2902148061	1059.47577853
Oahu	2902147200	974.62484019
Oahu	2902167200	961.245767869
Oahu	2902168061	1052.58618179
Oahu	2902187200	1070.99163674
Oahu	2902188061	1151.34577997
Oahu	2902208061	1023.73779645
Oahu	2902207200	917.30155609
Oahu	2902228061	743.804454575
Oahu	2902227200	655.931309756
Oahu	2904007091	461.564122745
Oahu	2904007220	500.351204212
Oahu	2904027220	414.892859745
Oahu	2904027091	406.306459433
Oahu	2904047220	423.7896635
Oahu	2904047091	499.608691489
Oahu	2904067220	541.67630969
Oahu	2904067091	825.659945374
Oahu	2904087220	777.881628947
Oahu	2904087091	978.634458332
Oahu	2904107220	867.403646416
Oahu	2904107091	1061.05526573
Oahu	2904127220	882.011230798
Oahu	2904127091	1089.78443516
Oahu	2904147220	892.636142067
Oahu	2904147091	1086.09865178
Oahu	2904167220	916.964042816
Oahu	2904167091	1056.04645669
Oahu	2904187091	1100.46323649
Oahu	2904187220	977.513973591
Oahu	2904207091	1012.5477855
Oahu	2904207220	907.041185524
Oahu	2904227220	656.37685035
Oahu	2904227091	700.361520874
Oahu	2906007051	541.203824067
Oahu	2906008170	557.799750575
Oahu	2906028170	487.339534523
Oahu	2906027051	500.337690497
Oahu	2906048170	567.612617743
Oahu	2906047051	591.007220136
Oahu	2906067051	909.78175046
Oahu	2906068170	842.673870147
Oahu	2906088170	1024.93179888
Oahu	2906087051	1103.02837033
Oahu	2906107051	1180.1839377
Oahu	2906108170	1104.02461731
Oahu	2906127051	1209.46651024
Oahu	2906128170	1127.20488365
Oahu	2906147051	1219.64596331
Oahu	2906148170	1119.65655006
Oahu	2906167051	1187.01512067
Oahu	2906168170	1089.68285051
Oahu	2906188170	1071.4707534
Oahu	2906187051	1125.10170548
Oahu	2906207051	1082.64260155
Oahu	2906208170	1030.28428711
Oahu	2906228170	759.216752527
Oahu	2906227051	799.077396627
Oahu	2908008240	591.122252502
