generation_technology	investment_period	g_overnight_cost	g_fixed_o_m
CCCT_Biodiesel	2021	3627000.0	63509.9983215
CCCT_Biodiesel	2029	3627000.0	63509.9983215
CCCT_Biodiesel	2037	3627000.0	63509.9983215
CCCT_Biodiesel	2045	3627000.0	63509.9983215
CCCT_LNG	2021	3393000.0	64040.0009155
CCCT_LNG	2029	3393000.0	64040.0009155
CCCT_LNG	2037	3393000.0	64040.0009155
CCCT_LNG	2045	3393000.0	64040.0009155
CentralPV	2021	1000000000.0	1000000000.0
CentralPV	2029	1000000000.0	1000000000.0
CentralPV	2037	1000000000.0	1000000000.0
CentralPV	2045	1000000000.0	1000000000.0
CentralTrackingPV	2021	3472000.0	34430.0003052
CentralTrackingPV	2029	3472000.0	34430.0003052
CentralTrackingPV	2037	3472000.0	34430.0003052
CentralTrackingPV	2045	3472000.0	34430.0003052
DistPV	2021	4000000.0	0.0
DistPV	2029	4000000.0	0.0
DistPV	2037	4000000.0	0.0
DistPV	2045	4000000.0	0.0
Reciprocating	2021	2702000.0	10140.0003433
Reciprocating	2029	2702000.0	10140.0003433
Reciprocating	2037	2702000.0	10140.0003433
Reciprocating	2045	2702000.0	10140.0003433
SCCT_Biodiesel	2021	3627000.0	22020.0004578
SCCT_Biodiesel	2029	3627000.0	22020.0004578
SCCT_Biodiesel	2037	3627000.0	22020.0004578
SCCT_Biodiesel	2045	3627000.0	22020.0004578
SCCT_LNG	2021	3393000.0	22010.0002289
SCCT_LNG	2029	3393000.0	22010.0002289
SCCT_LNG	2037	3393000.0	22010.0002289
SCCT_LNG	2045	3393000.0	22010.0002289
Wind	2021	3510000.0	79519.9966431
Wind	2029	3510000.0	79519.9966431
Wind	2037	3510000.0	79519.9966431
Wind	2045	3510000.0	79519.9966431
